Northpoint Commercial Finance,,,,,,,,,,,,,,,
Inventory Aging by Model Number Report,,,,,,,,,,,,,,,
As of: 06/19/2026,,,,,,,,,,,,,,,
Business Name: Lauderdale Inflatables,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Dealer Name,Dealer CIN,Supplier Name,Supplier CIN,Invoice Number,Invoice Date,Aging (Days),Interest Start Date,Status,Model Year,Model Number,Serial/VIN,Original Balance,Current Balance,Curtailment Current Due,Past Due Curtailment
Lauderdale Inflatables,52151,Highfield Boats,42854,2050,12/31/2025,170,06/29/2026,In-Stock,,SPORT 390,HFM50643J526,"15,328.65","15,328.65",0,0
Lauderdale Inflatables,52151,Highfield Boats,42854,864,08/13/2024,675,02/09/2025,Transfer,,SPORT 420,HFM43745F425,"12,900.00","9,352.50",0,0
Lauderdale Inflatables,52151,Highfield Boats,42854,2050,12/31/2025,170,06/29/2026,In-Stock,,SPORT 520,HFM50645J526,"24,431.54","24,431.54",0,0
Lauderdale Inflatables,52151,Highfield Boats,42854,2050,12/31/2025,170,06/29/2026,In-Stock,,UL 340FD,HFM50630J526,"3,893.23","3,893.23",0,0
Lauderdale Inflatables,52151,Highfield Boats,42854,2050,12/31/2025,170,06/29/2026,In-Stock,,UL 340FD,HFM50629J526,"3,893.23","3,893.23",0,0
Lauderdale Inflatables,52151,Highfield Boats,42854,1661NP,08/14/2025,309,02/10/2026,In-Stock,,UL 340FD - W,HFM49115F526,"4,652.69","4,420.05",0,0
Lauderdale Inflatables,52151,Highfield Boats,42854,1661NP,08/14/2025,309,02/10/2026,Transfer,,UL 340FD - W,HFM49116F526,"4,652.69","4,420.05",0,0
Lauderdale Inflatables,52151,Highfield Boats,42854,1661NP,08/14/2025,309,02/10/2026,In-Stock,,UL290FD,HFM49118F526,"3,472.27","3,298.65",0,0
Lauderdale Inflatables,52151,Highfield Boats,42854,864,08/13/2024,675,02/09/2025,In-Stock,,UL310FD,HFM43726F425,"3,210.00","2,327.25",0,0
Lauderdale Inflatables,52151,Highfield Boats,42854,2050,12/31/2025,170,06/29/2026,In-Stock,,UL310FD,HFM50627J526,"2,940.67","2,940.67",0,0
Lauderdale Inflatables,52151,Highfield Boats,42854,2050,12/31/2025,170,06/29/2026,In-Stock,,UL310FD,HFM50628J526,"2,940.67","2,940.67",0,0
